O*NET-SOC Code,Title,Workplace Example,Element ID,Element Name,Hot Technology,In Demand,Normalized_Tool_Name
15-1252.00,Software Developers,Figma,2.E.7.d,Graphical user interface development software,Y,N,Figma
15-1252.00,Software Developers,File server software,2.E.13.a,Filesystem software,N,N,File server software
15-1252.00,Software Developers,FileMaker Pro,2.E.6.f,Data base user interface and query software,N,N,FileMaker Pro
15-1252.00,Software Developers,Firewall software,2.E.14.c,Network security and virtual private network VPN equipment software,N,N,Firewall software
15-1252.00,Software Developers,Flipgrid,2.E.4.c,Video creation and editing software,N,N,Flipgrid
15-1252.00,Software Developers,Formula translation/translator FORTRAN,2.E.7.b,Development environment software,N,N,Formula translation/translator FORTRAN
15-1252.00,Software Developers,Forth,2.E.7.b,Development environment software,N,N,Forth
15-1252.00,Software Developers,Functional testing software,2.E.7.f,Program testing software,N,N,Functional testing software
15-1252.00,Software Developers,Gambit Scheme,2.E.7.b,Development environment software,N,N,Gambit Scheme
15-1252.00,Software Developers,Git,2.E.5.c,File versioning software,Y,Y,Git
15-1252.00,Software Developers,GitHub,2.E.10.a,Application server software,Y,Y,GitHub
15-1252.00,Software Developers,GitLab,2.E.10.a,Application server software,Y,N,GitLab
15-1252.00,Software Developers,GNU Image Manipulation Program GIMP,2.E.4.b,Graphics or photo imaging software,N,N,GNU Image Manipulation Program GIMP
15-1252.00,Software Developers,Go,2.E.7.b,Development environment software,Y,Y,Go
15-1252.00,Software Developers,Google Analytics,2.E.6.g,Data mining software,Y,N,Google Analytics
15-1252.00,Software Developers,Google Android,2.E.13.c,Operating system software,Y,N,Google Android
15-1252.00,Software Developers,Google Angular,2.E.7.h,Web platform development software,Y,Y,Google Angular
15-1252.00,Software Developers,Google Cloud software,2.E.11.e,Cloud-based management software,N,N,Google Cloud software
15-1252.00,Software Developers,Google Docs,2.E.4.d,Word processing software,Y,N,Google Docs
15-1252.00,Software Developers,Google Drive,2.E.16.i,Cloud-based data access and sharing software,N,N,Google Drive
15-1252.00,Software Developers,Google Gmail,2.E.16.a,Electronic mail software,N,N,Google Gmail
15-1252.00,Software Developers,Google Looker Analytics,2.E.6.m,Business intelligence and data analysis software,Y,N,Google Looker Analytics
15-1252.00,Software Developers,Google Meet,2.E.16.b,Video conferencing software,N,N,Google Meet
15-1252.00,Software Developers,Google Sheets,2.E.4.i,Spreadsheet software,Y,N,Google Sheets
15-1252.00,Software Developers,Google Sites,2.E.4.g,Web page creation and editing software,N,N,Google Sites
15-1252.00,Software Developers,Google Slides,2.E.4.f,Presentation software,N,N,Google Slides
15-1252.00,Software Developers,Gradle,2.E.7.e,Object or component oriented development software,N,N,Gradle
15-1252.00,Software Developers,Grafana Labs Grafana Cloud,2.E.7.d,Graphical user interface development software,Y,N,Grafana Labs Grafana Cloud
15-1252.00,Software Developers,Graphical user interface GUI builder software,2.E.7.d,Graphical user interface development software,N,N,Graphical user interface GUI builder software
15-1252.00,Software Developers,Graphical user interface GUI design software,2.E.7.d,Graphical user interface development software,N,N,Graphical user interface GUI design software
15-1252.00,Software Developers,GraphQL,2.E.6.f,Data base user interface and query software,Y,N,GraphQL
15-1252.00,Software Developers,GroupMe,2.E.16.d,Instant messaging software,N,N,GroupMe
15-1252.00,Software Developers,Haskell,2.E.7.b,Development environment software,N,N,Haskell
15-1252.00,Software Developers,Hewlett Packard HP-UX,2.E.13.c,Operating system software,N,N,Hewlett Packard HP-UX
15-1252.00,Software Developers,Hewlett Packard LoadRunner,2.E.7.f,Program testing software,N,N,Hewlett Packard LoadRunner
15-1252.00,Software Developers,Hibernate ORM,2.E.6.j,Object oriented data base management software,Y,N,Hibernate ORM
15-1252.00,Software Developers,Hypertext markup language HTML,2.E.7.h,Web platform development software,Y,Y,Hypertext markup language HTML
15-1252.00,Software Developers,IBM AIX,2.E.13.c,Operating system software,N,N,IBM AIX
15-1252.00,Software Developers,IBM Cognos Impromptu,2.E.6.m,Business intelligence and data analysis software,N,N,IBM Cognos Impromptu
15-1252.00,Software Developers,IBM DB2,2.E.6.f,Data base user interface and query software,Y,N,IBM DB2
15-1252.00,Software Developers,IBM Domino,2.E.12.b,Communications server software,N,N,IBM Domino
15-1252.00,Software Developers,IBM InfoSphere DataStage,2.E.7.c,Enterprise application integration software,N,N,IBM InfoSphere DataStage
15-1252.00,Software Developers,IBM Middleware,2.E.6.l,Transaction server software,N,N,IBM Middleware
15-1252.00,Software Developers,IBM Notes,2.E.16.a,Electronic mail software,N,N,IBM Notes
15-1252.00,Software Developers,IBM Power Systems software,2.E.17.a,Enterprise system management software,N,N,IBM Power Systems software
15-1252.00,Software Developers,IBM Rational ClearCase,2.E.7.a,Configuration management software,N,N,IBM Rational ClearCase
15-1252.00,Software Developers,IBM Rational ClearQuest,2.E.7.b,Development environment software,N,N,IBM Rational ClearQuest
15-1252.00,Software Developers,IBM Rational PurifyPlus,2.E.7.f,Program testing software,N,N,IBM Rational PurifyPlus
15-1252.00,Software Developers,IBM Rational RequisitePro,2.E.7.g,Requirements analysis and system architecture software,N,N,IBM Rational RequisitePro
15-1252.00,Software Developers,IBM Rational Rose XDE,2.E.7.b,Development environment software,N,N,IBM Rational Rose XDE
15-1252.00,Software Developers,IBM SPSS Statistics,2.E.9.d,Analytical or scientific software,Y,N,IBM SPSS Statistics
15-1252.00,Software Developers,IBM Terraform,2.E.7.a,Configuration management software,Y,Y,IBM Terraform
15-1252.00,Software Developers,IBM WebSphere,2.E.11.e,Cloud-based management software,N,N,IBM WebSphere
15-1252.00,Software Developers,IBM WebSphere MQ,2.E.11.e,Cloud-based management software,Y,N,IBM WebSphere MQ
15-1252.00,Software Developers,IBM z/OS operating systems,2.E.13.b,Network operation system software,N,N,IBM z/OS operating systems
15-1252.00,Software Developers,ICON programming language,2.E.7.b,Development environment software,N,N,ICON programming language
15-1252.00,Software Developers,IEA Software Emerald,2.E.6.f,Data base user interface and query software,N,N,IEA Software Emerald
15-1252.00,Software Developers,Informatica software,2.E.6.i,Metadata management software,Y,N,Informatica software
15-1252.00,Software Developers,Integrated development environment IDE software,2.E.7.b,Development environment software,N,N,Integrated development environment IDE software
15-1252.00,Software Developers,Integration testing software,2.E.7.f,Program testing software,N,N,Integration testing software
15-1252.00,Software Developers,Interface definition language IDL,2.E.7.b,Development environment software,N,N,Interface definition language IDL
15-1252.00,Software Developers,Interoperability testing software,2.E.7.f,Program testing software,N,N,Interoperability testing software
15-1252.00,Software Developers,Interstate connection ICON,2.E.7.b,Development environment software,N,N,Interstate connection ICON
15-1252.00,Software Developers,J,2.E.7.b,Development environment software,N,N,J
15-1252.00,Software Developers,JamBoard,2.E.4.b,Graphics or photo imaging software,N,N,JamBoard
15-1252.00,Software Developers,JavaScript,2.E.7.h,Web platform development software,Y,Y,JavaScript
15-1252.00,Software Developers,JavaScript framework software,2.E.7.h,Web platform development software,N,N,JavaScript framework software
15-1252.00,Software Developers,JavaScript Object Notation JSON,2.E.7.h,Web platform development software,Y,N,JavaScript Object Notation JSON
15-1252.00,Software Developers,Jenkins CI,2.E.7.c,Enterprise application integration software,Y,Y,Jenkins CI
15-1252.00,Software Developers,JFrog Artifactory,2.E.7.b,Development environment software,N,N,JFrog Artifactory
15-1252.00,Software Developers,Job control language JCL,2.E.13.c,Operating system software,N,N,Job control language JCL
15-1252.00,Software Developers,jQuery,2.E.7.e,Object or component oriented development software,Y,N,jQuery
15-1252.00,Software Developers,JUnit,2.E.7.f,Program testing software,Y,N,JUnit
15-1252.00,Software Developers,Jupyter Notebook,2.E.7.e,Object or component oriented development software,N,N,Jupyter Notebook
15-1252.00,Software Developers,KornShell,2.E.13.c,Operating system software,N,N,KornShell
15-1252.00,Software Developers,Kotlin,2.E.7.b,Development environment software,N,N,Kotlin
15-1252.00,Software Developers,Kubernetes,2.E.10.a,Application server software,Y,Y,Kubernetes
15-1252.00,Software Developers,LAMP Stack,2.E.7.h,Web platform development software,N,N,LAMP Stack
15-1252.00,Software Developers,LexisNexis,2.E.6.h,Information retrieval or search software,N,N,LexisNexis
15-1252.00,Software Developers,LibreOffice,2.E.1.k,Office suite software,N,N,LibreOffice
15-1252.00,Software Developers,LinkedIn,2.E.4.g,Web page creation and editing software,N,N,LinkedIn
15-1252.00,Software Developers,Linux,2.E.13.c,Operating system software,Y,Y,Linux
15-1252.00,Software Developers,List processing language LISP,2.E.7.b,Development environment software,N,N,List processing language LISP
15-1252.00,Software Developers,Load testing software,2.E.7.f,Program testing software,N,N,Load testing software
15-1252.00,Software Developers,LogMeIn GoToMeeting,2.E.16.b,Video conferencing software,N,N,LogMeIn GoToMeeting
15-1252.00,Software Developers,LogMeIn GoToWebinar,2.E.16.c,Network conferencing software,N,N,LogMeIn GoToWebinar
15-1252.00,Software Developers,Loom,2.E.4.c,Video creation and editing software,N,N,Loom
15-1252.00,Software Developers,Magellan Firmware,2.E.13.c,Operating system software,N,N,Magellan Firmware
15-1252.00,Software Developers,Management information systems MIS,2.E.2.b,Enterprise resource planning ERP software,N,N,Management information systems MIS
15-1252.00,Software Developers,Marketo Marketing Automation,2.E.1.l,Sales and marketing software,Y,N,Marketo Marketing Automation
15-1252.00,Software Developers,MathWorks Simulink,2.E.9.d,Analytical or scientific software,N,N,MathWorks Simulink
15-1252.00,Software Developers,McAfee,2.E.14.d,Transaction security and virus protection software,N,N,McAfee
15-1252.00,Software Developers,Microservices Architecture,2.E.10.a,Application server software,N,N,Microservices Architecture
15-1252.00,Software Developers,Microsoft .NET Framework,2.E.7.b,Development environment software,Y,N,Microsoft .NET Framework
15-1252.00,Software Developers,Microsoft Access,2.E.6.f,Data base user interface and query software,Y,N,Microsoft Access
15-1252.00,Software Developers,Microsoft Active Directory,2.E.10.d,Internet directory services software,Y,N,Microsoft Active Directory
15-1252.00,Software Developers,Microsoft Active Server Pages ASP,2.E.7.h,Web platform development software,Y,N,Microsoft Active Server Pages ASP
15-1252.00,Software Developers,Microsoft ActiveX,2.E.7.e,Object or component oriented development software,N,N,Microsoft ActiveX
15-1252.00,Software Developers,Microsoft ASP.NET,2.E.7.h,Web platform development software,Y,N,Microsoft ASP.NET
15-1252.00,Software Developers,Microsoft ASP.NET Core MVC,2.E.7.h,Web platform development software,N,N,Microsoft ASP.NET Core MVC
15-1252.00,Software Developers,Microsoft Azure DevOps Services,2.E.7.b,Development environment software,N,N,Microsoft Azure DevOps Services
15-1252.00,Software Developers,Microsoft Azure software,2.E.7.b,Development environment software,Y,Y,Microsoft Azure software
15-1252.00,Software Developers,Microsoft DirectX,2.E.15.c,Device drivers or system software,N,N,Microsoft DirectX
15-1252.00,Software Developers,Microsoft Dynamics,2.E.2.b,Enterprise resource planning ERP software,N,N,Microsoft Dynamics
15-1252.00,Software Developers,Microsoft Dynamics GP,2.E.2.b,Enterprise resource planning ERP software,N,N,Microsoft Dynamics GP
15-1252.00,Software Developers,Microsoft ESP SDK,2.E.7.b,Development environment software,N,N,Microsoft ESP SDK
15-1252.00,Software Developers,Microsoft Excel,2.E.4.i,Spreadsheet software,Y,N,Microsoft Excel
15-1252.00,Software Developers,Microsoft Exchange,2.E.16.a,Electronic mail software,N,N,Microsoft Exchange
15-1252.00,Software Developers,Microsoft Internet Information Services (IIS),2.E.6.l,Transaction server software,N,N,Microsoft Internet Information Services (IIS)
15-1252.00,Software Developers,Microsoft Office software,2.E.1.k,Office suite software,Y,N,Microsoft Office software
15-1252.00,Software Developers,Microsoft OneNote,2.E.4.d,Word processing software,N,N,Microsoft OneNote
15-1252.00,Software Developers,Microsoft Outlook,2.E.16.a,Electronic mail software,Y,N,Microsoft Outlook
15-1252.00,Software Developers,Microsoft Power Automate,2.E.7.c,Enterprise application integration software,Y,N,Microsoft Power Automate
15-1252.00,Software Developers,Microsoft Power BI,2.E.6.m,Business intelligence and data analysis software,Y,N,Microsoft Power BI
15-1252.00,Software Developers,Microsoft Power Platform software,2.E.7.c,Enterprise application integration software,Y,N,Microsoft Power Platform software
15-1252.00,Software Developers,Microsoft PowerPoint,2.E.4.f,Presentation software,Y,N,Microsoft PowerPoint
15-1252.00,Software Developers,Microsoft PowerShell,2.E.7.b,Development environment software,Y,N,Microsoft PowerShell
15-1252.00,Software Developers,Microsoft Project,2.E.1.e,Project management software,Y,N,Microsoft Project
15-1252.00,Software Developers,Microsoft Publisher,2.E.4.k,Desktop publishing software,N,N,Microsoft Publisher
15-1252.00,Software Developers,Microsoft SharePoint,2.E.5.b,Document management software,Y,N,Microsoft SharePoint
15-1252.00,Software Developers,Microsoft SQL Server,2.E.6.f,Data base user interface and query software,Y,N,Microsoft SQL Server
15-1252.00,Software Developers,Microsoft SQL Server Integration Services SSIS,2.E.7.c,Enterprise application integration software,Y,N,Microsoft SQL Server Integration Services SSIS
15-1252.00,Software Developers,Microsoft SQL Server Reporting Services SSRS,2.E.6.e,Data base reporting software,Y,N,Microsoft SQL Server Reporting Services SSRS
15-1252.00,Software Developers,Microsoft Team Foundation Server,2.E.1.e,Project management software,Y,N,Microsoft Team Foundation Server
15-1252.00,Software Developers,Microsoft Teams,2.E.1.e,Project management software,Y,N,Microsoft Teams
15-1252.00,Software Developers,Microsoft transact-structural query language T-SQL,2.E.6.d,Data base management system software,N,N,Microsoft transact-structural query language T-SQL
15-1252.00,Software Developers,Microsoft Visio,2.E.1.p,Process mapping and design software,Y,N,Microsoft Visio
15-1252.00,Software Developers,Microsoft Visual Basic,2.E.7.b,Development environment software,Y,N,Microsoft Visual Basic
15-1252.00,Software Developers,Microsoft Visual Basic for Applications VBA,2.E.7.b,Development environment software,Y,N,Microsoft Visual Basic for Applications VBA
15-1252.00,Software Developers,Microsoft Visual Basic Scripting Edition VBScript,2.E.7.b,Development environment software,N,N,Microsoft Visual Basic Scripting Edition VBScript
15-1252.00,Software Developers,Microsoft Visual Basic.NET,2.E.7.e,Object or component oriented development software,N,N,Microsoft Visual Basic.NET
15-1252.00,Software Developers,Microsoft Visual C# .NET,2.E.7.e,Object or component oriented development software,N,N,Microsoft Visual C# .NET
15-1252.00,Software Developers,Microsoft Visual Studio,2.E.7.b,Development environment software,Y,N,Microsoft Visual Studio
15-1252.00,Software Developers,Microsoft Windows,2.E.13.c,Operating system software,Y,N,Microsoft Windows
15-1252.00,Software Developers,Microsoft Windows Server,2.E.13.c,Operating system software,Y,N,Microsoft Windows Server
15-1252.00,Software Developers,Microsoft Word,2.E.4.d,Word processing software,Y,N,Microsoft Word
15-1252.00,Software Developers,MicroStrategy,2.E.6.m,Business intelligence and data analysis software,N,N,MicroStrategy
15-1252.00,Software Developers,Migration software,2.E.12.m,Platform interconnectivity software,N,N,Migration software
15-1252.00,Software Developers,Migration testing software,2.E.7.f,Program testing software,N,N,Migration testing software
15-1252.00,Software Developers,Minitab,2.E.9.d,Analytical or scientific software,N,N,Minitab
15-1252.00,Software Developers,Modula,2.E.7.e,Object or component oriented development software,N,N,Modula
15-1252.00,Software Developers,MongoDB,2.E.6.d,Data base management system software,Y,N,MongoDB
15-1252.00,Software Developers,Moodle,2.E.8.b,Computer based training software,N,N,Moodle
15-1252.00,Software Developers,MuleSoft software,2.E.7.c,Enterprise application integration software,N,N,MuleSoft software
15-1252.00,Software Developers,MUMPS M,2.E.7.b,Development environment software,N,N,MUMPS M
15-1252.00,Software Developers,Mutation testing software,2.E.7.f,Program testing software,N,N,Mutation testing software
15-1252.00,Software Developers,MySQL,2.E.6.f,Data base user interface and query software,Y,N,MySQL
15-1252.00,Software Developers,Nagios,2.E.11.a,Network monitoring software,N,N,Nagios
15-1252.00,Software Developers,National Instruments LabVIEW,2.E.7.b,Development environment software,N,N,National Instruments LabVIEW
15-1252.00,Software Developers,NetSuite ERP,2.E.2.b,Enterprise resource planning ERP software,N,N,NetSuite ERP
15-1252.00,Software Developers,Node.js,2.E.7.h,Web platform development software,Y,Y,Node.js
15-1252.00,Software Developers,NortonLifeLock cybersecurity software,2.E.14.d,Transaction security and virus protection software,N,N,NortonLifeLock cybersecurity software
15-1252.00,Software Developers,NoSQL,2.E.6.d,Data base management system software,Y,Y,NoSQL
15-1252.00,Software Developers,Oberon,2.E.7.e,Object or component oriented development software,N,N,Oberon
15-1252.00,Software Developers,Object Management Group Object Request Broker,2.E.6.l,Transaction server software,N,N,Object Management Group Object Request Broker
15-1252.00,Software Developers,Objective C,2.E.7.e,Object or component oriented development software,N,N,Objective C
15-1252.00,Software Developers,Objective Caml,2.E.7.e,Object or component oriented development software,N,N,Objective Caml
15-1252.00,Software Developers,Open Graphics Library OpenGL,2.E.4.b,Graphics or photo imaging software,N,N,Open Graphics Library OpenGL
15-1252.00,Software Developers,OpenAI ChatGPT,2.E.7.b,Development environment software,N,N,OpenAI ChatGPT
15-1252.00,Software Developers,Operating system shells,2.E.13.c,Operating system software,N,N,Operating system shells
15-1252.00,Software Developers,Oracle Application Server,2.E.10.a,Application server software,N,N,Oracle Application Server
15-1252.00,Software Developers,Oracle Business Intelligence Discoverer,2.E.6.e,Data base reporting software,N,N,Oracle Business Intelligence Discoverer
15-1252.00,Software Developers,Oracle Business Intelligence Enterprise Edition,2.E.6.m,Business intelligence and data analysis software,N,N,Oracle Business Intelligence Enterprise Edition
15-1252.00,Software Developers,Oracle Business Intelligence Suite,2.E.6.e,Data base reporting software,N,N,Oracle Business Intelligence Suite
15-1252.00,Software Developers,Oracle Cloud software,2.E.11.e,Cloud-based management software,Y,N,Oracle Cloud software
15-1252.00,Software Developers,Oracle Database,2.E.6.d,Data base management system software,Y,N,Oracle Database
15-1252.00,Software Developers,Oracle E-Business Suite Financials,2.E.2.d,Financial analysis software,N,N,Oracle E-Business Suite Financials
15-1252.00,Software Developers,Oracle Eloqua,2.E.6.c,Customer relationship management CRM software,N,N,Oracle Eloqua
15-1252.00,Software Developers,Oracle Fusion Applications,2.E.2.b,Enterprise resource planning ERP software,N,N,Oracle Fusion Applications
15-1252.00,Software Developers,Oracle Fusion Middleware,2.E.7.c,Enterprise application integration software,N,N,Oracle Fusion Middleware
15-1252.00,Software Developers,Oracle Hyperion,2.E.2.b,Enterprise resource planning ERP software,N,N,Oracle Hyperion
15-1252.00,Software Developers,Oracle Java,2.E.7.e,Object or component oriented development software,Y,Y,Oracle Java
15-1252.00,Software Developers,Oracle Java 2 Platform Enterprise Edition J2EE,2.E.7.b,Development environment software,Y,N,Oracle Java 2 Platform Enterprise Edition J2EE
15-1252.00,Software Developers,Oracle Java Message Service JMS,2.E.7.e,Object or component oriented development software,N,N,Oracle Java Message Service JMS
15-1252.00,Software Developers,Oracle JavaServer Pages JSP,2.E.7.h,Web platform development software,N,N,Oracle JavaServer Pages JSP
15-1252.00,Software Developers,Oracle JD Edwards EnterpriseOne,2.E.2.b,Enterprise resource planning ERP software,N,N,Oracle JD Edwards EnterpriseOne
15-1252.00,Software Developers,Oracle JDBC,2.E.6.f,Data base user interface and query software,N,N,Oracle JDBC
15-1252.00,Software Developers,Oracle PeopleSoft,2.E.2.b,Enterprise resource planning ERP software,Y,N,Oracle PeopleSoft
15-1252.00,Software Developers,Oracle PeopleSoft Financials,2.E.2.b,Enterprise resource planning ERP software,N,N,Oracle PeopleSoft Financials
15-1252.00,Software Developers,Oracle PL/SQL,2.E.6.d,Data base management system software,Y,N,Oracle PL/SQL
15-1252.00,Software Developers,Oracle Primavera Enterprise Project Portfolio Management,2.E.1.e,Project management software,Y,N,Oracle Primavera Enterprise Project Portfolio Management
15-1252.00,Software Developers,Oracle Reports,2.E.6.e,Data base reporting software,N,N,Oracle Reports
15-1252.00,Software Developers,Oracle Solaris,2.E.13.c,Operating system software,N,N,Oracle Solaris
15-1252.00,Software Developers,Oracle SQL Developer,2.E.7.b,Development environment software,Y,N,Oracle SQL Developer
15-1252.00,Software Developers,Oracle WebLogic Server,2.E.10.a,Application server software,N,N,Oracle WebLogic Server
15-1252.00,Software Developers,Pascal,2.E.7.b,Development environment software,N,N,Pascal
15-1252.00,Software Developers,Patch management software,2.E.7.a,Configuration management software,N,N,Patch management software
15-1252.00,Software Developers,Perforce Helix software,2.E.7.a,Configuration management software,N,N,Perforce Helix software
15-1252.00,Software Developers,Perl,2.E.7.e,Object or component oriented development software,Y,N,Perl
15-1252.00,Software Developers,PHP,2.E.7.h,Web platform development software,Y,N,PHP
15-1252.00,Software Developers,Platform as a service PaaS,2.E.16.i,Cloud-based data access and sharing software,N,N,Platform as a service PaaS
15-1252.00,Software Developers,PostgreSQL,2.E.6.j,Object oriented data base management software,Y,Y,PostgreSQL
15-1252.00,Software Developers,Programming language one PL/I,2.E.7.b,Development environment software,N,N,Programming language one PL/I
15-1252.00,Software Developers,Prolog,2.E.7.b,Development environment software,N,N,Prolog
15-1252.00,Software Developers,Prometheus,2.E.6.f,Data base user interface and query software,Y,N,Prometheus
15-1252.00,Software Developers,Puppet,2.E.7.a,Configuration management software,Y,N,Puppet
15-1252.00,Software Developers,PuTTY,2.E.12.a,Access software,N,N,PuTTY
15-1252.00,Software Developers,Python,2.E.7.e,Object or component oriented development software,Y,Y,Python
15-1252.00,Software Developers,PyTorch,2.E.6.f,Data base user interface and query software,Y,N,PyTorch
15-1252.00,Software Developers,Qlik Tech QlikView,2.E.6.m,Business intelligence and data analysis software,N,N,Qlik Tech QlikView
15-1252.00,Software Developers,QNX,2.E.13.c,Operating system software,N,N,QNX
15-1252.00,Software Developers,Quest Erwin Data Modeler,2.E.6.i,Metadata management software,N,N,Quest Erwin Data Modeler
15-1252.00,Software Developers,R,2.E.7.e,Object or component oriented development software,Y,N,R
15-1252.00,Software Developers,RabbitMQ,2.E.7.e,Object or component oriented development software,N,N,RabbitMQ
15-1252.00,Software Developers,React,2.E.7.h,Web platform development software,Y,Y,React
15-1252.00,Software Developers,React Native,2.E.7.h,Web platform development software,N,N,React Native
15-1252.00,Software Developers,React Redux,2.E.7.h,Web platform development software,N,N,React Redux
15-1252.00,Software Developers,Real time operating system RTOS software,2.E.13.c,Operating system software,N,N,Real time operating system RTOS software
15-1252.00,Software Developers,Recovery testing software,2.E.7.f,Program testing software,N,N,Recovery testing software
15-1252.00,Software Developers,Red Hat Ansible Engine,2.E.7.a,Configuration management software,N,N,Red Hat Ansible Engine
15-1252.00,Software Developers,Red Hat Enterprise Linux,2.E.13.c,Operating system software,Y,N,Red Hat Enterprise Linux
15-1252.00,Software Developers,Red Hat OpenShift,2.E.10.a,Application server software,Y,N,Red Hat OpenShift
15-1252.00,Software Developers,Red Hat WildFly,2.E.10.a,Application server software,N,N,Red Hat WildFly
15-1252.00,Software Developers,Redis,2.E.6.d,Data base management system software,Y,N,Redis
15-1252.00,Software Developers,Regression testing software,2.E.7.f,Program testing software,N,N,Regression testing software
15-1252.00,Software Developers,Relational database management software,2.E.6.d,Data base management system software,N,N,Relational database management software
15-1252.00,Software Developers,Requirements management software,2.E.7.g,Requirements analysis and system architecture software,N,N,Requirements management software
15-1252.00,Software Developers,RESTful API,2.E.7.h,Web platform development software,N,Y,RESTful API
15-1252.00,Software Developers,Restructured extended executor REXX,2.E.7.b,Development environment software,N,N,Restructured extended executor REXX
15-1252.00,Software Developers,Ruby,2.E.7.b,Development environment software,Y,N,Ruby
15-1252.00,Software Developers,Ruby on Rails,2.E.7.h,Web platform development software,N,N,Ruby on Rails
15-1252.00,Software Developers,Salesforce software,2.E.6.c,Customer relationship management CRM software,Y,N,Salesforce software
15-1252.00,Software Developers,Salesforce Visualforce,2.E.7.d,Graphical user interface development software,N,N,Salesforce Visualforce
15-1252.00,Software Developers,SAP Adaptive Server Enterprise,2.E.6.d,Data base management system software,N,N,SAP Adaptive Server Enterprise
15-1252.00,Software Developers,SAP Business Intelligence,2.E.6.e,Data base reporting software,N,N,SAP Business Intelligence
15-1252.00,Software Developers,SAP Business Objects,2.E.2.b,Enterprise resource planning ERP software,N,N,SAP Business Objects
15-1252.00,Software Developers,SAP Crystal Reports,2.E.6.e,Data base reporting software,N,N,SAP Crystal Reports
15-1252.00,Software Developers,SAP ERP,2.E.2.b,Enterprise resource planning ERP software,Y,N,SAP ERP
15-1252.00,Software Developers,SAP NetWeaver,2.E.7.c,Enterprise application integration software,N,N,SAP NetWeaver
15-1252.00,Software Developers,SAP PowerBuilder,2.E.7.e,Object or component oriented development software,N,N,SAP PowerBuilder
15-1252.00,Software Developers,SAP software,2.E.2.b,Enterprise resource planning ERP software,Y,N,SAP software
15-1252.00,Software Developers,SAS,2.E.9.d,Analytical or scientific software,Y,N,SAS
15-1252.00,Software Developers,Scala,2.E.7.e,Object or component oriented development software,Y,N,Scala
15-1252.00,Software Developers,Scheme,2.E.7.b,Development environment software,N,N,Scheme
15-1252.00,Software Developers,Screencastify,2.E.4.c,Video creation and editing software,N,N,Screencastify
15-1252.00,Software Developers,Security testing software,2.E.7.f,Program testing software,N,N,Security testing software
15-1252.00,Software Developers,Selenium,2.E.7.f,Program testing software,Y,N,Selenium
15-1252.00,Software Developers,ServiceNow,2.E.6.f,Data base user interface and query software,Y,N,ServiceNow
15-1252.00,Software Developers,Shell script,2.E.13.c,Operating system software,Y,N,Shell script
15-1252.00,Software Developers,Simple API for XML SAX,2.E.7.e,Object or component oriented development software,N,N,Simple API for XML SAX
15-1252.00,Software Developers,Simulation program with integrated circuit emphasis SPICE,2.E.9.d,Analytical or scientific software,N,N,Simulation program with integrated circuit emphasis SPICE
15-1252.00,Software Developers,Single sign-on SSO,2.E.14.a,Authentication server software,N,N,Single sign-on SSO
15-1252.00,Software Developers,Skype,2.E.10.b,Desktop communications software,N,N,Skype
15-1252.00,Software Developers,Slack,2.E.16.i,Cloud-based data access and sharing software,Y,N,Slack
15-1252.00,Software Developers,Smalltalk,2.E.7.e,Object or component oriented development software,N,N,Smalltalk
15-1252.00,Software Developers,SmugMug Flickr,2.E.4.b,Graphics or photo imaging software,N,N,SmugMug Flickr
15-1252.00,Software Developers,Snowflake,2.E.6.g,Data mining software,Y,N,Snowflake
15-1252.00,Software Developers,Social media sites,2.E.4.g,Web page creation and editing software,N,N,Social media sites
15-1252.00,Software Developers,Software development tools,2.E.7.b,Development environment software,N,N,Software development tools
15-1252.00,Software Developers,Software distribution management software,2.E.11.c,Administration software,N,N,Software distribution management software
15-1252.00,Software Developers,Software libraries,2.E.7.b,Development environment software,N,N,Software libraries
15-1252.00,Software Developers,SonarQube,2.E.7.f,Program testing software,N,N,SonarQube
15-1252.00,Software Developers,Source code editor software,2.E.7.f,Program testing software,N,N,Source code editor software
15-1252.00,Software Developers,Splunk Enterprise,2.E.11.e,Cloud-based management software,Y,N,Splunk Enterprise
15-1252.00,Software Developers,Spring Boot,2.E.10.a,Application server software,Y,Y,Spring Boot
15-1252.00,Software Developers,Spring Framework,2.E.7.h,Web platform development software,Y,Y,Spring Framework
15-1252.00,Software Developers,StataCorp Stata,2.E.9.d,Analytical or scientific software,N,N,StataCorp Stata
15-1252.00,Software Developers,Static analysis software,2.E.7.f,Program testing software,N,N,Static analysis software
15-1252.00,Software Developers,Storage area network SAN software,2.E.12.f,Storage networking software,N,N,Storage area network SAN software
15-1252.00,Software Developers,Stress testing software,2.E.7.f,Program testing software,N,N,Stress testing software
15-1252.00,Software Developers,String oriented symbolic language SNOBOL,2.E.7.b,Development environment software,N,N,String oriented symbolic language SNOBOL
15-1252.00,Software Developers,Structured query language SQL,2.E.6.f,Data base user interface and query software,Y,Y,Structured query language SQL
15-1252.00,Software Developers,Structured Query Report SQR,2.E.6.d,Data base management system software,N,N,Structured Query Report SQR
15-1252.00,Software Developers,Sun Microsystems Java Persistence API,2.E.7.e,Object or component oriented development software,N,N,Sun Microsystems Java Persistence API
15-1252.00,Software Developers,Swift,2.E.7.e,Object or component oriented development software,Y,N,Swift
15-1252.00,Software Developers,Symantec Visual Cafe,2.E.7.b,Development environment software,N,N,Symantec Visual Cafe
15-1252.00,Software Developers,System testing software,2.E.7.f,Program testing software,N,N,System testing software
